RNG Seed:  999
Loading CelebA dataset (Download size: 1.4GB)
Files already downloaded and verified
CelebA loaded (162770 images)
Dataloader created: 1271 batches per epoch
Batch size: 128
Image size: 64 by 64
Total batches: 1271
[4/5][600/1271]	Loss_D: 0.3932	Loss_G: 2.7469	D(x): 0.8037	D(G(z)): 0.1356 / 0.0844
[4/5][650/1271]	Loss_D: 1.1181	Loss_G: 3.4283	D(x): 0.7207	D(G(z)): 0.4750 / 0.0509
[4/5][700/1271]	Loss_D: 0.9887	Loss_G: 4.2085	D(x): 0.9530	D(G(z)): 0.5633 / 0.0212
[4/5][750/1271]	Loss_D: 0.6988	Loss_G: 3.7792	D(x): 0.9053	D(G(z)): 0.4034 / 0.0305
[4/5][800/1271]	Loss_D: 0.8856	Loss_G: 3.8867	D(x): 0.9008	D(G(z)): 0.4946 / 0.0277
[4/5][850/1271]	Loss_D: 0.5908	Loss_G: 2.2680	D(x): 0.6254	D(G(z)): 0.0637 / 0.1364
[4/5][900/1271]	Loss_D: 2.0676	Loss_G: 6.0045	D(x): 0.9847	D(G(z)): 0.8287 / 0.0061
[4/5][950/1271]	Loss_D: 0.5880	Loss_G: 3.3115	D(x): 0.8737	D(G(z)): 0.3262 / 0.0516
[4/5][1000/1271]	Loss_D: 1.3631	Loss_G: 5.1114	D(x): 0.9427	D(G(z)): 0.6722 / 0.0094
[4/5][1050/1271]	Loss_D: 0.4807	Loss_G: 2.0382	D(x): 0.7061	D(G(z)): 0.0866 / 0.1615
[4/5][1100/1271]	Loss_D: 0.5446	Loss_G: 2.4345	D(x): 0.7548	D(G(z)): 0.1925 / 0.1196
[4/5][1150/1271]	Loss_D: 0.4168	Loss_G: 3.2651	D(x): 0.8749	D(G(z)): 0.2257 / 0.0488
[4/5][1200/1271]	Loss_D: 0.4898	Loss_G: 2.1442	D(x): 0.7688	D(G(z)): 0.1794 / 0.1434
[4/5][1250/1271]	Loss_D: 0.5157	Loss_G: 2.9049	D(x): 0.8147	D(G(z)): 0.2375 / 0.0671
